"id","tyc","gaia","hyg","hip","hd","hr","gl","bayer","flam","con","proper","ra","dec","pos_src","dist","x0","y0","z0","dist_src","mag","absmag","ci","mag_src","rv","rv_src","pm_ra","pm_dec","pm_src","vx","vy","vz","spect","spect_src"
"2198","9350-450-1","4684097178470252032","122","122","224889","9084","","The","","Oct","","0.02657657","-77.06569263","T","64.7044","14.483","0.101","-63.063","G_R3","4.78","0.725","1.254","HIP","22.154","G_R3","-56.841","-176.791","G_R3","-47.77","-17.768","-33.73","K3 III","T"
"2536","4666-935-1","2448177130188111232","145","145","224926","9087","","","29","Psc","","0.03040227","-3.02750332","T","131.8486","131.66","1.048","-6.964","G_R3","5.13","-0.47","-0.128","HIP","23.0","HYG","17.905","-10.329","G_R3","22.537","11.371","-7.662","B8 II/III","T"
"2717","4669-997-1","2442861747380543104","154","154","224935","9089","","","30","Psc","","0.03267185","-6.0140715","T","126.9704","126.267","1.08","-13.303","G_R3","4.37","-1.149","1.631","HIP","-12.0","HYG","46.941","-40.471","G_R3","-14.727","28.129","-22.968","M2 III","T"
"3262","6418-1221-1","2320885329010329216","183","183","224990","9091","","Zet","","Scl","","0.03886746","-29.72041312","T","207.3226","180.0405","1.8326","-102.7846","G_R3","5.04","-1.543","-0.15","HIP","8.6","HYG","9.181","15.079","G_R3","14.723","9.173","8.607","B3/5 V","T"
"5087","5838-1288-1","2414783622022208128","300","301","225132","9098","","","2","Cet","","0.06233","-17.335988","HIP_X","95.1699","90.835","1.482","-28.358","G_R3","4.55","-0.342","-0.047","HIP","-5.0","HYG","25.363","-8.987","G_R3","-6.167","11.343","-2.38","B9IVn","HYG"
"6116","5263-1049-1","2428589330539122304","355","355","225212","9103","","","3","Cet","","0.07503306","-10.50952282","T","607.64","597.331","11.735","-110.833","G_R3","4.99","-3.928","1.619","HIP","-42.152","G_R3","-5.871","-11.883","G_R3","-47.347","-17.844","-25.966","K3 III","T"
"7208","4669-996-1","2444348733779214976","441","443","28","3","","","33","Psc","","0.08892716","-5.70761634","T","42.5257","42.303","0.985","-4.229","G_R3","4.61","1.467","1.029","HIP","-3.811","G_R3","-11.985","89.314","G_R3","-1.945","-2.462","18.295","K0 III","T"
"11289","1735-3180-1","","676","677","358","15","","Alp","21","And","Alpheratz","0.13976889","29.09082805","T","29.7442","25.975","0.951","14.461","HIP","2.07","-0.297","-0.038","HIP","-12.0","HYG","135.68","-162.95","HYG","-0.016","19.143","-25.912","B8P","T"
"12664","8022-1240-1","4990516294443333504","763","765","496","25","Gl 9.1","Eps","","Phe","","0.15684383","-45.74742469","T","44.2319","30.84","1.267","-31.682","G_R3","3.88","0.651","1.013","HIP","-9.2","HYG","120.393","-179.597","G_R3","-34.401","23.852","-19.689","K0 III","T"
"12359","3664-1985-1","","744","746","432","21","Gl 8","Bet","11","Cas","Caph","0.152887","59.14978","HIP_X","16.7842","8.6","0.345","14.41","HIP","2.28","1.155","0.38","HIP","11.3","HYG","523.39","-180.42","HYG","16.438","42.335","2.34","F2III-IV","HYG"
"12586","6418-1217-1","","759","761","493","24","","Kap-1","","Scl","","0.15583914","-27.98797299","T","77.4593","68.343","2.79","-36.351","HIP","5.42","0.975","0.414","HIP","9.0","HYG","72.57","-9.99","HYG","5.134","26.879","-7.463","F3 V","T"
"13492","9358-208-1","4630854015089595776","812","814","636","30","","Gam-3","","Oct","","0.16727079","-82.22404825","T","80.9488","10.942","0.479","-80.204","G_R3","5.29","0.749","1.049","HIP","14.28","G_R3","-22.05","-20.218","G_R3","-5.379","-8.705","-15.199","K1/2 III","T"
"13877","3246-880-1","386906188924249088","839","841","571","27","","","22","And","","0.17201288","46.07227305","T","459.097","318.176","14.338","330.649","G_R3","5.01","-3.3","0.405","HIP","-5.0","HYG","5.481","-0.237","G_R3","-3.631","11.777","-3.959","F2II","T"
"15072","5839-1081-1","2416611663182821120","908","910","693","33","Gl 10","","6","Cet","","0.18773843","-15.46798074","T","18.8861","18.18","0.894","-5.037","G_R3","4.89","3.509","0.487","HIP","14.946","G_R3","-82.828","-269.549","G_R3","8.323","-7.015","-27.244","F5 V","T"
"15522","6419-1002-1","2321573107893212288","928","930","720","34","","Kap-2","","Scl","","0.19289435","-27.79973846","T","175.0336","154.634","7.816","-81.633","G_R3","5.41","-0.806","1.346","HIP","-4.465","G_R3","5.058","12.9","G_R3","0.829","4.244","11.551","K2 III","T"
"16311","5842-1161-1","2366512209704495744","981","983","787","37","","","","Cet","","0.20277334","-17.93828415","T","227.4298","216.069","11.481","-70.047","G_R3","5.29","-1.494","1.478","HIP","-6.483","G_R3","51.175","-29.035","G_R3","-18.714","54.257","-27.785","K4 III","T"
"15744","6995-1262-1","2309813109479463040","948","950","739","35","GJ 3013","The","","Scl","","0.19555809","-35.13311562","T","21.719","17.739","0.909","-12.499","G_R3","5.24","3.556","0.459","HIP","-1.154","G_R3","171.298","125.436","G_R3","5.577","17.946","11.226","F3/5 V","T"
"17696","1179-1775-1","2769202742740232960","1065","1067","886","39","","Gam","88","Peg","Algenib","0.220598","15.183596","HIP_X","143.9383","138.682","8.018","37.699","G_R3","2.83","-2.961","-0.19","HIP","4.0","HYG","0.492","-10.73","G_R3","5.749","0.669","-6.018","B2IV","HYG"
"19497","1185-2319-1","2797816639500412288","1166","1168","1013","45","","Chi","89","Peg","","0.24337891","20.20669856","T","106.3242","99.5775","6.3531","36.7251","G_R3","4.79","-0.343","1.572","HIP","-46.0","HYG","91.831","1.152","G_R3","-46.229","43.43","-15.344","M2III","T"
"19316","5261-219-1","2430911155499204864","1156","1158","1014","46","","","","Cet","","0.24100777","-7.78052668","T","182.1261","180.09","11.3781","-24.6562","G_R3","5.13","-1.172","1.601","HIP","-2.0","HYG","59.92","10.462","G_R3","-4.019","51.582","9.22","M1/2 III","T"
"19543","5842-1163-1","2365464065885835904","1169","1170","1038","48","","","7","Cet","","0.24400453","-18.93286794","T","141.2483","133.334","8.529","-45.829","G_R3","4.44","-1.31","1.64","HIP","-23.0","HYG","-26.458","-73.45","G_R3","-36.505","-20.087","-39.058","M1 III","T"
"22760","2782-2251-1","379662675036095232","1363","1366","1280","63","","The","24","And","","0.28485989","38.6816459","T","52.981","41.2437","3.0816","33.1128","G_R3","4.61","0.989","0.059","HIP","1.0","HYG","-57.551","-14.795","G_R3","4.171","-14.183","-2.276","A2V","T"
"24432","2273-2081-1","378607281314502016","1470","1473","1404","68","","Sig","25","And","","0.30546047","36.78522535","T","43.0031","34.33","2.751","25.751","G_R3","4.51","1.343","0.054","HIP","-8.994","G_R3","-65.212","-42.221","G_R3","-0.981","-13.415","-12.279","A2V","T"
